section_heading,control_heading,question,answer,notes
Service Overview,Service Scope Question,What technology languages/platforms/stacks/components are utilized in the scope of the application? (AWS? MySQL? Ruby on Rails? Go? Javascript?),"""ClientABC"" database, Java, JavaScript, GO. Cloud infrastructure is provided by AWS, Azure, and GCP.  Cluster nodes run CentOS and host the ""ClientABC"" database. ""ClientABC""  is written in Java, JavaScript, and Go.
",
Service Overview,Service Hosting,"Is your service run from your own:
- A. Data Center
- B. The Cloud
- C. Deployed-On Premise Only
- Not Applicable",B. The Cloud,
Service Overview,Service Hosting,Data Centre Location(s) (relative to services provided),"""ClientABC""  is available within the Amazon Web Services (AWS), Google Cloud Platform (GCP), and Microsoft Azure cloud platforms. Additionally, users can choose from up to over 70 cloud regions to host their databases (Northeast, West, Southeast, Canada, etc.).
",
Service Overview,Service Hosting,Which cloud providers do you rely on?,"Our data centers are hosted on the cloud via AWS, GCP, and Azure.",
Service Overview,Service Hosting,Have you researched your cloud providers best security practices?,Yes,
Service Overview,Service Hosting,Which data centers/countries/geographies are you deployed in?,"""ClientABC""  is available within the Amazon Web Services (AWS), Google Cloud Platform (GCP), and Microsoft Azure cloud platforms.",
Service Overview,Service Hosting,On-premise solution only,No,"""ClientABC"" Database as a Service.
"
Service Overview,Vendor Supporting Documentation,Most recent Application Code Review or Penetration Testing Reports (carried out by independent third party),You will be able to upload a file for this question through Whistic after importing.,
Service Overview,Vendor Supporting Documentation,Does the penetration test follow an industry approved methodology:,Yes,
Service Overview,Vendor Supporting Documentation,Information Security Policies and Procedures,You will be able to upload a file for this question through Whistic after importing.,
Service Overview,Vendor Supporting Documentation,Data Flow Diagram,You will be able to upload a file for this question through Whistic after importing.,
Service Overview,Vendor Supporting Documentation,Any other Documents supporting your responses in this questionnaire (Please provide a description for each document).,You will be able to upload a file for this question through Whistic after importing.,
Service Overview,Vendor Supporting Documentation,"PCI, SOC2 type II or ISO27001 certification reports",You will be able to upload a file for this question through Whistic after importing.,
Service Overview,Vendor Supporting Documentation,Other Independent Audit report (please provide details),You will be able to upload a file for this question through Whistic after importing.,
Data Protection & Access Control,Data Classification,"Please describe the company/user data you require to provide your service:
- A. Personal Information
- B. Financial Data
- C. Confidential/Sensitive Data
- D. Government Data
- Not Applicable",A. Personal Information,"We collect basic PII i.e. First name, Last name, Email address, IP address, device identifier, or other persistent identifier, Phone number, Fax number. 
"
